ID,DB,Dataset_Name,Dataset_Long_Name,Variables,Data_Source,Distributor,Description,Climatology,Acknowledgement,Doc_URL,Icon_URL,Contact_Email,Dataset_Version,Dataset_Release_Date,Dataset_History
231,Opedia,SG148M15D001-762,"SeaGlider 148, Mission 15, Dives 1-762",,"University of Hawaii, Manoa",,"The SCOPE-Falkor cruise was a month long expedition, primarily to conduct mapping of the deep chlorophyll maximum (DCM) within a mesoscale cyclonic eddy. The procedure was to utilize two Long Range Autonomous Vehicles (AUVs) near the center of the eddy and  to capture the microbial ecology within the DCM over several diel cycles. Two autonomous Seagliders, sg148 (mission 15) and sg626 (mission 2) were deployed along the exterior boundary of the cyclonic eddy to conduct spatial surveys  of salinity, chlorophyll,  optics, and oxygen, diving  generally from 200 to  600 meters depth.  Since the R/V Falkor and the LRAUVs would be drifting near each other and sampling close to the center of the cyclonic eddy, both Seagliders were to give the regional context by simultaneously  traversing the margin of the eastern edge of the  cyclonic eddy and western edge of the anti-cyclonic eddy.",False,,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblFalkor_SeaGlider_148m15d001_762.png,lfujieki@soest.hawaii.edu,Final,2020-01-13,final version
232,Opedia,SG512M9D001-178,"SeaGlider 512, Mission 9, Dives 1-178",,"University of Hawaii, Manoa",,"The HOT-LAVA mission was a rare opportunity to quickly survey and sample  the biogeochemical changes and\necological variability of the ocean off the south east coast of Hawaii when it was perturbed by lava pouring into the sea.\nSeaglider sg512  (mission 9), was deployed the first day to conduct transects to the south ahead of the R/V KOK and\nalong the axis of the satellite imagery showing a chlorophyll bloom.   Its goal was to survey and provide reconnaissance\nfor the ships science personnel to ground truth the satellites higher surface expression of chlorophyll and hopefully\nprovide better station locations for sampling.   Subsequent to the cruise, it was to continue collecting data corresponding\nto the satellite imagery and monitor the longer regional changes due to the outflow of the lava into the ocean.   This\nmission was prematurely  shortened due to a malfunctioning depth pressure sensor, necessitating an early recovery.",False,,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblKOK1806_SeaGlider_512m9d001_178.png,lfujieki@soest.hawaii.edu,Final,2019-11-19,final version
233,Opedia,SG626M2D001-1055,"SeaGlider 626, Mission 2, Dives 1-1055",,"University of Hawaii, Manoa",,"The SCOPE-Falkor cruise was a month long expedition, primarily to conduct mapping of the deep chlorophyll maximum (DCM) within a mesoscale cyclonic eddy. The procedure was to utilize two Long Range Autonomous Vehicles (AUVs) near the center of the eddy and  to capture the microbial ecology within the DCM over several diel cycles. Two autonomous Seagliders, sg148 (mission 15) and sg626 (mission 2) were deployed along the exterior boundary of the cyclonic eddy to conduct spatial surveys  of salinity, chlorophyll,  optics, and oxygen, diving  generally from 200 to  600 meters depth.  Since the R/V Falkor and the LRAUVs would be drifting near each other and sampling close to the center of the cyclonic eddy, both Seagliders were to give the regional context by simultaneously  traversing the margin of the eastern edge of the  cyclonic eddy and western edge of the anti-cyclonic eddy.",False,,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblFalkor_SeaGlider_626m2d001_1055.png,lfujieki@soest.hawaii.edu,Final,2020-01-13,final version
238,Opedia,WW_HOT296_L1,Wirewalker_HOT296_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT296_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
239,Opedia,WW_HOT297_L1,Wirewalker_HOT297_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT297_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
240,Opedia,WW_HOT302_L1,Wirewalker_HOT302_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT302_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
241,Opedia,WW_HOT298_L1,Wirewalker_HOT298_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT298_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
242,Opedia,WW_HOT303_L1,Wirewalker_HOT303_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT303_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
243,Opedia,WW_HOT306_L1,Wirewalker_HOT306_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT306_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
244,Opedia,WW_HOT307_L1,Wirewalker_HOT307_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT307_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
245,Opedia,WW_HOT309_L1,Wirewalker_HOT309_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT309_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
246,Opedia,WW_HOT310_L1,Wirewalker_HOT310_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT310_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
247,Opedia,WW_HOT311_L1,Wirewalker_HOT311_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT311_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
248,Opedia,WW_HOT312_L1,Wirewalker_HOT312_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT312_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
249,Opedia,WW_HOT313_L1,Wirewalker_HOT313_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT313_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
250,Opedia,WW_HOT314_L1,Wirewalker_HOT314_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT314_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
251,Opedia,WW_HOT315_L1,Wirewalker_HOT315_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT315_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
252,Opedia,WW_HOT316_L1,Wirewalker_HOT316_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT316_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
253,Opedia,WW_HOT319_L1,Wirewalker_HOT319_Level1,,"University of Hawaii, Manoa",,"The Wirewalker is a  wave-powered drifting profiler designed to collect autonomous, vertically-resolved oceanographic observations. The profiler moves along a wire that is suspended between a float at the sea surface and a weight placed at a depth of tens or hundreds of meters. The system horizontal displacement follows the ocean currents. Wirewalker measurements include temperature, salinity, depth, beam attenuation, backscattering, chlorophyll fluorescence, CDOM fluorescence, downwelling irradiance in four spectral bands, and dissolved oxygen concentration.",False,We thank the SCOPE operation team for data collection. This research was supported by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT319_Wirewalker.png,benedetto.barone@gmail.com,1.0,2020-06-16,
