ID,DB,Dataset_ID,Table_Name,Short_Name,Long_Name,Unit,Temporal_Res_ID,Spatial_Res_ID,Temporal_Coverage_Begin,Temporal_Coverage_End,Lat_Coverage_Begin,Lat_Coverage_End,Lon_Coverage_Begin,Lon_Coverage_End,Grid_Mapping,Make_ID,Sensor_ID,Process_ID,Study_Domain_ID,Comment,Visualize,Data_Type
1009,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Annotation_Derived_Data_Record_Accession_singleCell,"Accession, ID, or DOI of data archive that contains genome annotation derived data file",,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4,False,float
1010,Opedia,75,tblSingleCellGenomes_Chisholm,time_quality_Chisholm,The data quality of the H:M:S portion of the time variable,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6, 0 = The time for when the single cell was isolated was not available so the time was set to 00:00:00 AM (GMT/UTC),False,float
1108,Opedia,82,tblESV,centroid,md5 hash of DNA sequence from qiime2,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,nchar
1109,Opedia,82,tblESV,relative_abundance,Proportion of indidividual sample represented by this feature,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,True,float
1110,Opedia,82,tblESV,max_abundance,This feature’s maximum abundance across the dataset,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,True,float
1111,Opedia,82,tblESV,cluster_level,VSEARCH clustering level (of eASVs),,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,smallint
1112,Opedia,82,tblESV,num_cluster_members,Number of cluster members other than the centroid,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,True,int
1113,Opedia,82,tblESV,domain,Taxonomic classification,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,nchar
1114,Opedia,82,tblESV,phylum,Taxonomic classification,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,nchar
1115,Opedia,82,tblESV,class,Taxonomic classification,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,nchar
1116,Opedia,82,tblESV,order,Taxonomic classification,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,nchar
1117,Opedia,82,tblESV,genus,Taxonomic classification,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,nchar
1122,Opedia,82,tblESV,size_frac_lower,"Lower limit for size fraction, in micrometers",,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,float
1123,Opedia,82,tblESV,size_frac_upper,"Upper limit for size fraction, in micrometers",,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,float
1124,Opedia,82,tblESV,cruise_name,The name of the cruise where samples were collected,,7,1,2012-04-11,2012-05-11,-51.056000000000004,47.0438,-66.4633,-8.0905,,1,2,2,3,see https://osf.io/g7xsj/ for more information about analysis pipeline,False,nchar
1126,Opedia,83,tblFlombaum,prochlorococcus_abundance_flombaum,Global Prochlorococcus abundance and Distribution,cells/ml,7,1,1987-09-17,2008-11-10,-71.316,81.16199999999998,-179.57,180.0,,1,2,2,9,,True,float
1127,Opedia,83,tblFlombaum,synechococcus_abundance_flombaum,Global Synechococcus abundance and Distribution,cells/ml,7,1,1987-09-17,2008-11-10,-71.316,81.16199999999998,-179.57,180.0,,1,2,2,9,,True,float
1157,Opedia,85,tblGlobal_PicoPhytoPlankton,prochlorococcus_abundance,global prochlorococcus abundance ,cells/ml,7,1,1987-06-27,2011-08-03,-78.04142,62.83,-179.438666666667,179.9984,,1,2,2,9,,True,float
1158,Opedia,85,tblGlobal_PicoPhytoPlankton,synechococcus_abundance,global synechococcus abundance ,cells/ml,7,1,1987-06-27,2011-08-03,-78.04142,62.83,-179.438666666667,179.9984,,1,2,2,9,,True,float
1159,Opedia,85,tblGlobal_PicoPhytoPlankton,picoeukaryote_abundance,global pikoeukaryote abundance ,cells/ml,7,1,1987-06-27,2011-08-03,-78.04142,62.83,-179.438666666667,179.9984,,1,2,2,9,,True,float
1160,Opedia,85,tblGlobal_PicoPhytoPlankton,picophytoplankton_abundance,global picophytoplankton abundance,cells/ml,7,1,1987-06-27,2011-08-03,-78.04142,62.83,-179.438666666667,179.9984,,1,2,2,9,,True,float
1161,Opedia,85,tblGlobal_PicoPhytoPlankton,picophytoplankton_biomass,global picophytoplankton biomass,ug C/L,7,1,1987-06-27,2011-08-03,-78.04142,62.83,-179.438666666667,179.9984,,1,2,2,9,,True,float
1216,Opedia,89,tblWOA_Climatology,AOU_WOA_clim,Objectively Analyzed Climatology for Apparent Oxygen Utilization (AOU) World Ocean Atlas,mL/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1217,Opedia,89,tblWOA_Climatology,AOU_stat_mean_WOA_clim,Statistical Mean for  Apparent Oxygen Utilization (AOU) World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1218,Opedia,89,tblWOA_Climatology,AOU_num_obs_WOA_clim,Number of  Apparent Oxygen Utilization (AOU) Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1219,Opedia,89,tblWOA_Climatology,AOU_stdev_WOA_clim,Apparent Oxygen Utilization (AOU) Standard Deviation from Statistical Mean World Ocean Atlas,mL/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1220,Opedia,89,tblWOA_Climatology,AOU_stderr_WOA_clim,Apparent Oxygen Utilization (AOU) Standard Error of the Statistical Mean World Ocean Atlas,mL/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1221,Opedia,89,tblWOA_Climatology,density_WOA_clim,Objectively Analyzed Climatology for Density World Ocean Atlas,kg/m^3,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1222,Opedia,89,tblWOA_Climatology,density_stat_mean_WOA_clim,Statistical Mean for  Density World Ocean Atlas,kg/m^3,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1223,Opedia,89,tblWOA_Climatology,density_num_obs_WOA_clim,Number of  Density Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1224,Opedia,89,tblWOA_Climatology,density_stdev_WOA_clim,Density Standard Deviation from Statistical Mean World Ocean Atlas,kg/m^3,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1225,Opedia,89,tblWOA_Climatology,o2sat_WOA_clim,Objectively Analyzed Climatology for Percent Oxygen Saturation World Ocean Atlas,%,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1226,Opedia,89,tblWOA_Climatology,o2sat_stat_mean_WOA_clim,Statistical Mean for  Percent Oxygen Saturation World Ocean Atlas,%,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1227,Opedia,89,tblWOA_Climatology,o2sat_num_obs_WOA_clim,Number of  Percent Oxygen Saturation Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1228,Opedia,89,tblWOA_Climatology,o2sat_stdev_WOA_clim,Percent Oxygen Saturation Standard Deviation from Statistical Mean World Ocean Atlas,%,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1229,Opedia,89,tblWOA_Climatology,o2sat_stderr_WOA_clim,Percent Oxygen Saturation Standard Error of the Statistical Mean World Ocean Atlas,%,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1230,Opedia,89,tblWOA_Climatology,oxygen_WOA_clim,Objectively Analyzed Climatology for Dissolved Oxygen World Ocean Atlas,mL/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1231,Opedia,89,tblWOA_Climatology,oxygen_stat_mean_WOA_clim,Statistical Mean for  Dissolved Oxygen World Ocean Atlas,mL/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1232,Opedia,89,tblWOA_Climatology,oxygen_num_obs_WOA_clim,Number of  Dissolved Oxygen Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1233,Opedia,89,tblWOA_Climatology,oxygen_stdev_WOA_clim,Dissolved Oxygen Standard Deviation from Statistical Mean World Ocean Atlas,mL/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1234,Opedia,89,tblWOA_Climatology,oxygen_stderr_WOA_clim,Dissolved Oxygen Standard Error of the Statistical Mean World Ocean Atlas,mL/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1235,Opedia,89,tblWOA_Climatology,salinity_WOA_clim,Objectively Analyzed Climatology for Salinity World Ocean Atlas,PSU,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1236,Opedia,89,tblWOA_Climatology,salinity_stat_mean_WOA_clim,Statistical Mean for  Salinity World Ocean Atlas,PSU,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1237,Opedia,89,tblWOA_Climatology,salinity_num_obs_WOA_clim,Number of  Salinity Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1238,Opedia,89,tblWOA_Climatology,salinity_stdev_WOA_clim,Salinity Standard Deviation from Statistical Mean World Ocean Atlas,PSU,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1239,Opedia,89,tblWOA_Climatology,salinity_stderr_WOA_clim,Salinity Standard Error of the Statistical Mean World Ocean Atlas,PSU,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1240,Opedia,89,tblWOA_Climatology,conductivity_WOA_clim,Objectively Analyzed Climatology for Conductivity World Ocean Atlas,Sm-1,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1241,Opedia,89,tblWOA_Climatology,conductivity_stat_mean_WOA_clim,Statistical Mean for  Conductivity World Ocean Atlas,Sm-1,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1242,Opedia,89,tblWOA_Climatology,conductivity_num_obs_WOA_clim,Number of  Conductivity Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1243,Opedia,89,tblWOA_Climatology,conductivity_stdev_WOA_clim,Conductivity Standard Deviation from Statistical Mean World Ocean Atlas,Sm-1,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1246,Opedia,89,tblWOA_Climatology,sea_water_temp_num_obs_WOA_clim,Number of Temperature Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,The number of observations of Sea Water Temperature in each one-degree square of the World Ocean at each standard depth level,True,float
1249,Opedia,89,tblWOA_Climatology,nitrate_WOA_clim,Objectively Analyzed Climatology for Nitrate World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1250,Opedia,89,tblWOA_Climatology,nitrate_stat_mean_WOA_clim,Statistical Mean for  Nitrate World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1251,Opedia,89,tblWOA_Climatology,nitrate_num_obs_WOA_clim,Number of  Nitrate Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1252,Opedia,89,tblWOA_Climatology,nitrate_stdev_WOA_clim,Nitrate Standard Deviation from Statistical Mean World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1253,Opedia,89,tblWOA_Climatology,nitrate_stderr_WOA_clim,Nitrate Standard Error of the Statistical Mean World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1254,Opedia,89,tblWOA_Climatology,phosphate_WOA_clim,Objectively Analyzed Climatology for Phosphate World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1255,Opedia,89,tblWOA_Climatology,phosphate_stat_mean_WOA_clim,Statistical Mean for  Phosphate World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1256,Opedia,89,tblWOA_Climatology,phosphate_num_obs_WOA_clim,Number of  Phosphate Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1257,Opedia,89,tblWOA_Climatology,phosphate_stdev_WOA_clim,Phosphate Standard Deviation from Statistical Mean World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1258,Opedia,89,tblWOA_Climatology,phosphate_stderr_WOA_clim,Phosphate Standard Error of the Statistical Mean World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1259,Opedia,89,tblWOA_Climatology,silicate_WOA_clim,Objectively Analyzed Climatology for Silicate World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1260,Opedia,89,tblWOA_Climatology,silicate_stat_mean_WOA_clim,Statistical Mean for  Silicate World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1261,Opedia,89,tblWOA_Climatology,silicate_num_obs_WOA_clim,Number of  Silicate Observations World Ocean Atlas,,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1262,Opedia,89,tblWOA_Climatology,silicate_stdev_WOA_clim,Silicate Standard Deviation from Statistical Mean World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1263,Opedia,89,tblWOA_Climatology,silicate_stderr_WOA_clim,Silicate Standard Error of the Statistical Mean World Ocean Atlas,mcmol/L,8,8,NULL,NULL,-89.5,89.5,-179.5,179.5,CRS,1,2,2,10,,True,float
1264,Opedia,90,tblCHL_REP,chl,Chlorophyll concentration - 8day averaged,mg/m^3,11,3,,,-89.9792,89.9792,-179.9792,179.9792,CRS,1,1,2,3,,True,float
1265,Opedia,91,tblDarwin_Ecosystem,phytoplankton_diversity_shannon_index,Phytoplankton Diversity (Shannon Index),,9,2,1993-12-31,2015-12-30,-90,90,-180,180,CRS,2,3,2,4,,True,float
1266,Opedia,91,tblDarwin_Ecosystem,phytoplankton,Total Phytoplankton Concentration,mmol C/m^3,9,2,1993-12-31,2015-12-30,-90,90,-180,180,CRS,2,3,2,4,,True,float
1267,Opedia,91,tblDarwin_Ecosystem,zooplankton,Total Zooplankton Concentration,mmol C/m^3,9,2,1993-12-31,2015-12-30,-90,90,-180,180,CRS,2,3,2,4,,True,float
